part_id,total_weeks,non_zero_weeks,mean_demand,std_demand,total_consumption,ADI,CV2,demand_type,criticality_class,part_family
P00001,156,156,10.807692307692308,4.598899426006301,1686,1.0,0.18106807321376694,Smooth,B,Electrical
P00002,156,156,38.81410256410256,13.041771345740349,6055,1.0,0.1129000320288409,Smooth,C,Cabin
P00003,156,156,22.78205128205128,8.839278084516726,3554,1.0,0.1505386246397842,Smooth,C,Avionics
P00004,156,155,4.185897435897436,2.411810957069095,653,1.0064516129032257,0.33197804409956544,Smooth,A,Electrical
P00005,156,156,42.006410256410255,12.898360383358458,6553,1.0,0.09428397302242958,Smooth,C,Cabin
P00006,156,156,33.07692307692308,10.83693711134908,5160,1.0,0.10734032345295619,Smooth,C,Cabin
P00007,156,156,13.737179487179487,5.387095907440632,2143,1.0,0.15378510358226957,Smooth,B,Fasteners
P00008,156,156,20.846153846153847,8.077969919162133,3252,1.0,0.1501594213656693,Smooth,C,Avionics
P00009,156,153,5.75,3.256011809442005,897,1.0196078431372548,0.3206536983962435,Smooth,A,Structure
P00010,156,156,13.948717948717949,6.6145439672079736,2176,1.0,0.2248698498018753,Smooth,C,Electrical
P00011,156,156,18.365384615384617,7.214757759518748,2865,1.0,0.15432754655317701,Smooth,C,Fasteners
P00012,156,142,4.711538461538462,3.6755681858501474,735,1.0985915492957747,0.6085881420375917,Erratic,C,Engine
P00013,156,135,2.7564102564102564,2.104899951255962,430,1.1555555555555554,0.583143181144123,Erratic,A,Avionics
P00014,156,156,12.314102564102564,4.540576185093532,1921,1.0,0.1359616420191666,Smooth,C,Hydraulics
P00015,156,145,2.6794871794871793,1.7338645238112889,418,1.0758620689655172,0.4187231327417028,Smooth,A,Engine
P00016,156,156,13.967948717948717,5.809247213232536,2179,1.0,0.17297146067120628,Smooth,B,LandingGear
P00017,156,156,10.35897435897436,5.091357278886819,1616,1.0,0.2415647896632526,Smooth,A,Cabin
P00018,156,156,34.22435897435897,11.463025394691332,5339,1.0,0.11218321034417528,Smooth,C,Cabin
P00019,156,156,14.871794871794872,5.754905844041236,2320,1.0,0.14974408346438564,Smooth,B,Fasteners
P00020,156,139,5.2756410256410255,4.029846259692502,823,1.1223021582733812,0.583480682351965,Erratic,C,Hydraulics
P00021,156,141,5.602564102564102,4.248232250469466,874,1.1063829787234043,0.5749668878870562,Erratic,C,Hydraulics
P00022,156,150,3.6666666666666665,2.113957711095725,572,1.04,0.3323913623033859,Smooth,A,Hydraulics
P00023,156,156,5.621794871794871,2.8314887198352343,877,1.0,0.25367617555157385,Smooth,A,Structure
P00024,156,154,5.621794871794871,2.8177844161176466,877,1.0129870129870129,0.25122655082106077,Smooth,A,Fasteners
P00025,156,156,23.775641025641026,10.713617333124633,3709,1.0,0.20305224269082472,Smooth,C,Structure
P00026,156,156,19.403846153846153,6.383222814437807,3027,1.0,0.1082192110260826,Smooth,C,Fasteners
P00027,156,156,18.794871794871796,6.6930083392013415,2932,1.0,0.12681306432130388,Smooth,B,Avionics
P00028,156,156,10.275641025641026,4.602346831848793,1603,1.0,0.20060457798531145,Smooth,C,Engine
P00029,156,153,5.141025641025641,2.811149960881508,802,1.0196078431372548,0.29899814055882745,Smooth,A,Structure
P00030,156,156,12.653846153846153,4.6789216377609595,1974,1.0,0.13672453136981372,Smooth,C,Hydraulics
P00031,156,156,10.884615384615385,4.087686526806967,1698,1.0,0.14103567845288242,Smooth,C,Engine
P00032,156,148,6.647435897435898,5.3627201657842924,1037,1.054054054054054,0.6508215949519982,Erratic,C,Electrical
P00033,156,156,13.012820512820513,5.074906233981624,2030,1.0,0.15209437963363784,Smooth,C,Hydraulics
P00034,156,152,8.224358974358974,6.4323514166846785,1283,1.0263157894736843,0.6116956753739591,Erratic,C,Fasteners
P00035,156,152,4.211538461538462,2.336276650058366,657,1.0263157894736843,0.3077279859778543,Smooth,A,Hydraulics
P00036,156,156,16.08974358974359,6.798834620131168,2510,1.0,0.17855446226916005,Smooth,B,Structure
P00037,156,152,4.230769230769231,2.467455667075424,660,1.0263157894736843,0.3401418288456409,Smooth,A,Electrical
P00038,156,156,18.76923076923077,6.149582890493238,2928,1.0,0.10734909103518832,Smooth,C,Fasteners
