part_id,date,on_hand_qty,consumption_qty,backorder_qty,blocked_qty,avg_weekly_demand,criticality_class,unit_cost,lead_time_days,days_of_coverage,inventory_value,inventory_turns,stock_status
P00001,2024-12-23,70,19,0,0,10.807692307692308,B,2323.45,27,45.338078291814945,162641.5,8.028571428571428,Healthy
P00002,2024-12-23,283,32,0,0,38.81410256410256,C,670.84,31,51.038150289017345,189847.72,7.131919905771495,Healthy
P00003,2024-12-23,336,7,0,0,22.78205128205128,C,219.44,49,103.23916713562184,73731.84,3.5257936507936507,Excess
P00004,2024-12-23,41,5,0,0,4.185897435897436,A,12488.8,33,68.56355283307809,512040.8,5.308943089430896,Healthy
P00005,2024-12-23,802,31,0,0,42.006410256410255,C,1319.96,63,133.64626888448038,1058607.92,2.7236076475477975,Excess
P00006,2024-12-23,627,32,0,0,33.07692307692308,C,665.36,68,132.6906976744186,417180.72000000003,2.743221690590112,Excess
P00007,2024-12-23,210,7,0,0,13.737179487179487,B,2665.22,46,107.00886607559497,559696.2,3.4015873015873015,Excess
P00008,2024-12-23,274,10,0,0,20.846153846153847,C,289.66,50,92.00738007380073,79366.84000000001,3.956204379562044,Excess
P00009,2024-12-23,43,1,0,0,5.75,A,3012.47,22,52.34782608695652,129536.20999999999,6.953488372093023,Healthy
P00010,2024-12-23,120,4,0,0,13.948717948717949,C,1488.91,33,60.22058823529412,178669.2,6.044444444444444,Healthy
P00011,2024-12-23,196,13,0,0,18.365384615384617,C,538.02,40,74.70575916230365,105451.92,4.872448979591837,Healthy
P00012,2024-12-23,43,10,1,0,4.711538461538462,C,355.03,49,63.88571428571428,15266.289999999999,5.6976744186046515,Healthy
P00013,2024-12-23,32,5,0,0,2.7564102564102564,A,1751.39,33,81.26511627906977,56044.48,4.479166666666666,Healthy
P00014,2024-12-23,134,12,0,2,12.314102564102564,C,188.1,46,76.172826652785,25205.399999999998,4.778606965174129,Healthy
P00015,2024-12-23,36,2,0,0,2.6794871794871793,A,3003.43,36,94.04784688995217,108123.48,3.87037037037037,Excess
P00016,2024-12-23,63,6,0,0,13.967948717948717,B,2044.15,15,31.572280862781092,128781.45000000001,11.529100529100528,Healthy
P00017,2024-12-23,168,12,0,0,10.35897435897436,A,6462.47,44,113.52475247524751,1085694.96,3.2063492063492065,Excess
P00018,2024-12-23,429,21,0,0,34.22435897435897,C,1153.39,44,87.74452144596367,494804.31000000006,4.1484071484071485,Healthy
P00019,2024-12-23,118,17,0,0,14.871794871794872,B,2838.25,34,55.54137931034482,334913.5,6.553672316384182,Healthy
P00020,2024-12-23,80,4,0,0,5.2756410256410255,C,295.4,46,106.14823815309842,23632.0,3.4291666666666667,Excess
