supplier_id,num_class_a_parts,total_class_a_value,avg_lead_time,otif_rate,avg_delay,critical_incidents,major_incidents,risk_index,total_pos
SUP033,1,3692.57,88.0,0.030110935023771792,6.088748019017433,4,3,74.0,631
SUP013,3,23063.9,42.0,0.27941176470588236,2.033737024221453,3,4,61.9,1156
SUP038,1,5429.21,49.0,0.2761116856256463,1.9441571871768355,5,2,55.8,967
SUP040,1,8071.81,49.0,0.2872427983539095,1.8674897119341565,2,4,53.2,1215
SUP018,1,1490.01,47.0,0.28665568369028005,1.8813838550247117,1,3,46.3,607
SUP030,3,15195.77,36.666666666666664,0.5311699402220325,0.2049530315969257,0,9,46.2,1171
SUP015,4,26326.629999999997,43.75,0.26150121065375304,2.205811138014528,0,0,46.0,413
SUP021,2,12492.85,57.5,0.26003824091778205,2.078393881453155,1,0,44.8,523
SUP023,2,13609.09,57.0,0.2392857142857143,2.367857142857143,0,1,43.2,280
SUP039,2,13658.55,49.0,0.25163398692810457,2.179738562091503,0,1,42.3,306
SUP005,3,17086.63,52.666666666666664,0.28211009174311924,1.9311926605504588,0,0,41.6,436
SUP014,2,13101.29,35.0,0.2704626334519573,2.0818505338078293,0,1,41.3,843
SUP036,4,28415.85,37.25,0.5357142857142857,0.2988095238095238,2,0,41.2,840
SUP034,2,23206.42,39.0,0.5103806228373703,0.3615916955017301,1,4,39.3,578
SUP019,2,15065.550000000001,31.5,0.5224312590448625,0.22141823444283648,1,4,38.5,691
SUP037,1,2074.07,35.0,0.497624703087886,0.28859857482185275,0,6,35.7,842
SUP010,1,5930.81,18.0,0.5193548387096775,0.35268817204301073,1,3,33.9,930
SUP008,2,28281.25,22.0,0.514480408858603,0.1839863713798978,0,4,33.8,587
SUP012,5,26691.190000000002,29.8,0.5468615649183147,0.09114359415305245,0,0,33.3,1163
SUP035,1,3427.65,33.0,0.5178826895565093,0.25894134477825465,1,1,29.8,699
SUP007,2,7937.93,34.0,0.4897713598074609,0.3935018050541516,0,1,29.2,831
SUP029,1,2333.09,40.0,0.5292397660818714,0.2222222222222222,0,3,28.3,684
SUP031,1,6462.47,44.0,0.5118306351183064,0.3138231631382316,0,1,25.2,803
SUP028,1,5064.85,35.0,0.544766708701135,0.11475409836065574,0,1,23.4,793
